# Countries present in 1886 that Hearts of Iron IV does not model.
# Generated by tools/countries_1886.py -- edit that file, not this one.

ACE = "countries/Aceh.txt"                          # Aceh
RYL = "countries/Reuss_Younger_Line.txt"            # Reuss Younger Line
SAT = "countries/Saxe-Altenburg.txt"                # Saxe-Altenburg
SCG = "countries/Saxe-Coburg_and_Gotha.txt"         # Saxe-Coburg and Gotha
SEL = "countries/Selangor.txt"                      # Selangor
SHW = "countries/Shewa.txt"                         # Shewa
SKI = "countries/Siak.txt"                          # Siak
SKM = "countries/Sikkim.txt"                        # Sikkim
SLP = "countries/Schaumburg-Lippe.txt"              # Schaumburg-Lippe
SLU = "countries/Sulu.txt"                          # Sulu
SMA = "countries/Samoa.txt"                         # Samoa
SMN = "countries/Saxe-Meiningen.txt"                # Saxe-Meiningen
SMO = "countries/Samos.txt"                         # Samos
SOK = "countries/Sokoto_Caliphate.txt"              # Sokoto Caliphate
SRW = "countries/Sarawak.txt"                       # Sarawak
SWR = "countries/Schwarzburg-Rudolstadt.txt"        # Schwarzburg-Rudolstadt
SWS = "countries/Schwarzburg-Sondershausen.txt"     # Schwarzburg-Sondershausen
SWZ = "countries/Swaziland.txt"                     # Swaziland
SXY = "countries/Saxony.txt"                        # Saxony
TCL = "countries/Toucouleur_Empire.txt"             # Toucouleur Empire
TGR = "countries/Tigray.txt"                        # Tigray
TID = "countries/Tidore.txt"                        # Tidore
TON = "countries/Tonga.txt"                         # Tonga
TRG = "countries/Terengganu.txt"                    # Terengganu
TRN = "countries/Ternate.txt"                       # Ternate
TRO = "countries/Toro.txt"                          # Toro
TRP = "countries/Tripolitania.txt"                  # Tripolitania
TRU = "countries/Trucial_States.txt"                # Trucial States
TRV = "countries/Travancore.txt"                    # Travancore
TVL = "countries/South_African_Republic.txt"        # South African Republic
UDA = "countries/Udaipur.txt"                       # Udaipur
WAD = "countries/Wadai.txt"                         # Wadai
WEI = "countries/Saxe-Weimar-Eisenach.txt"          # Saxe-Weimar-Eisenach
WIT = "countries/Witu.txt"                          # Witu
WLD = "countries/Waldeck-Pyrmont.txt"               # Waldeck-Pyrmont
WSU = "countries/Wassoulou.txt"                     # Wassoulou
WUR = "countries/Wurttemberg.txt"                   # Wurttemberg
ZAN = "countries/Zanzibar.txt"                      # Zanzibar
ZUL = "countries/Zululand.txt"                      # Zululand
