kind,coarse_state,coarse_id,coarse_provinces,overlapped,coverage_pct,replacements,fall_through,replacement_states,overlapped_provinces,fall_through_provinces,decision
replaced,333-British Borneo,333,24,22,92,6,2,919 - Brunei | 920 - Sarawak | 921 - Spanish Borneo | 1176 - Sulu | 1177 - South Brunei | 1178 - East Sarawak,1208 1306 1335 4216 4282 4338 4396 7358 7371 7387 8091 10143 10199 10212 10240 10269 10285 12171 12186 12228 12283 12905,2117 7443,
replaced,524-Taiwan,524,10,8,80,6,2,1221 - Atayal | 1224 - Amis | 1227 - Rukai | 1228 - Paiwan | 1229 - North-western Taiwan | 1230 - Atayal-East,1175 4096 7186 7214 9955 11914 11959 12027,1091 12068,
replaced,540-Angola,540,15,13,87,5,2,824 - Angola Coast | 932 - Angolan Herero | 933 - Ovimbundu | 934 - Chokwe | 936 - Ganguela,1552 2126 4735 5158 8054 8138 8202 8219 8248 10966 12391 12958 12985,7548 12981,
replaced,381-Wyoming,381,13,11,85,4,2,1047-Wyoming-Sioux | 1049-Cheyenne | 1284-Southwestern-Wyoming | 1291-Wyoming-Shoshone,4610 4723 4794 4820 7688 7888 10640 10711 12561 12633 12651,1815 7814,
replaced,36-Friesland,36,8,6,75,3,2,1209-Overijssel | 1232-Gelderland | 1276-Drenthe,6241 6286 9309 9363 9403 11318,6336 9335,
replaced,506-Northern Chile,506,10,8,80,3,2,923 - Peruvian Chile | 924 - Bolivian Chile | 1086 - Coquimbo,5131 5146 5171 5228 8217 8231 12914 12994,5192 11000,
replaced,58-Schleswig - Holstein,58,9,7,78,3,2,868 - Hamburg | 938 - Lubeck | 949 - Holstein,3231 3368 6257 6389 9320 9347 11331,317 11366,
replaced,496-Para,496,26,24,92,2,2,1038-Minas Gerais | 1039-Espirito Santo,2153 2167 2185 2190 2218 4570 5223 7476 7589 8148 8196 8210 8226 8233 10931 10945 10999 12334 12479 12903 12909 12923 12938 12977,10360 12438,
replaced,749-Huangshan,749,11,9,82,1,2,1056 - Nanjing,1099 1125 1171 4105 4173 7104 10044 11937 12019,1153 7007,
replaced,279-Chile,279,11,10,91,5,1,1086 - Coquimbo | 1087 - Valparaiso | 1088 - Maule | 1089 - Auracania | 1090 - Los Rios,5121 5169 5191 8194 8222 8229 8251 12920 12954 12984,650,
replaced,272-French Africa,272,6,5,83,4,1,859 - Futa Jaloon Senegal | 862 - Saloum | 863 - Kaabu Senegal | 864 - Futa Toro Senegal,2100 7972 8015 12710 12834,4948,
replaced,300-Uruguay,300,13,12,92,4,1,1081-Colonia | 1094-Paysandu | 1096-Maldonado | 1097-Artigas,1613 1626 1641 1654 4457 10347 10502 12336 12440 12468 12481 12496,10362,
replaced,659-Arabian UK 2,659,7,6,86,4,1,1194 - West Hadhramaut | 1195 - Central Hadhramaut | 1196 - East Hadhramaut | 1312-Socotra,2029 4976 8000 12821 12894 13079,5074,
replaced,542-Bechuana Land,542,5,4,80,3,1,841 - Bamangwato | 842 - Saan | 843 - Bangwaketse,8214 10525 12940 12963,1580,
replaced,301-paraguay,301,5,4,80,2,1,1138 - San Pedro | 1139 - Alto Parana,2152 2194 11023 12901,2173,
replaced,766-Southern Bessarabia,766,4,3,75,2,1,1126 - Budjak | 1387-Sarata,3701 3704 6727,6743,
replaced,295-Congo,295,20,20,100,9,0,884 - Luba | 887 - Lunda | 888 - Kongo | 892 - Holo | 898 - Msiri | 901 - Bukama | 935 - North Chokwe | 937 - North Kimbundu | 1215 - Eastern Lunda,191 1516 1731 1817 1929 1968 2024 4128 4515 5117 7716 9986 10025 10858 10968 12795 12896 12907 12925 12945,,
replaced,509-Gran Chaco,509,11,11,100,6,0,1066-Formosa | 1098-Santa Fe | 1099-West Formosa | 1100-Santiago del Estero | 1101-Catamarca | 1102-Salta & Jujury,2106 2208 5143 5213 8169 8255 10944 10965 10986 12922 12943,,
replaced,556-Mali,556,15,15,100,6,0,850 - Kong Mali | 853 - Toucouleur | 856 - Mossi Mali | 858 - Futa Jaloon Mali | 1370-Non wasteland Mali | 1382-Djemini,2012 2044 4927 5045 5101 7930 7954 8116 10788 10812 10829 10915 12751 12794 12838,,
replaced,29-Pas de Calais,29,8,8,100,2,0,976-Nord | 1151 - Calais,575 3476 3536 6504 9500 11483 11548 11606,,
replaced,759-Kunlun,759,6,6,100,2,0,1225 - Nashenhe | 1253-Kunlun Shan,1698 1943 2074 4947 5736 10315,,
replaced,744-Xian,744,11,11,100,1,0,1223 - Kavalan,1976 2006 4167 4256 4295 5092 7301 7406 7418 10257 12713,,
replaced,769 - Benin,769,3,3,100,1,0,1372-Dahomey,10919 12762 12874,,
mixed,289-Siam,289,53,23,43,3,30,985-East Bangkok | 986-Northern Siam | 987-East Siam,1244 1253 1488 1535 1548 1990 4433 4496 4511 7225 7292 7312 7492 7516 7531 7601 7675 8045 10371 12360 12402 12417 12431,1357 1427 4319 4348 4566 4582 7338 7353 7367 7408 7544 7559 7572 7587 10193 10221 10250 10293 10384 10398 10411 10425 10438 12173 12195 12224 12264 12345 12373 12388,
mixed,523-New Guinea,523,44,18,41,1,26,1136 - North Papua,1389 4393 4418 5135 7365 7614 10251 10423 10974 11004 11018 12154 12193 12237 12240 12400 12428 12931,1222 1242 1283 1310 2129 4289 4317 4329 4346 4635 7305 7333 7349 7362 7378 7409 10147 10231 10248 10260 10954 12107 12123 12135 12484 12995,
mixed,426-Odisha,426,27,11,41,1,16,1351-Rewa,1101 1538 1579 1622 4513 7465 9946 10171 10428 10469 12490,1059 4104 4237 7090 7372 7428 10001 10060 10088 10116 10255 11924 11978 12063 12241 12462,
mixed,741-Cambodia,741,27,12,44,3,15,991-Preah Vihear | 994-Siem Reap | 995-Ratanakir,1353 4251 4302 4359 4596 7404 10134 10177 10467 12167 12191 12460,1324 1620 4330 4639 7319 7376 7432 7645 10204 10289 10317 12260 12288 12447 12475,
mixed,585-Uzbekistan,585,25,10,40,1,14,1319-Khwarazm,1479 1576 1614 7541 10395 10435 12233 12324 12454 12465,1532 1554 1623 4488 4499 4618 7501 7507 10348 10420 10470 12161 12471 12474,
mixed,286-Indochina,286,29,16,55,1,13,998-Cochinchina,1396 1423 4223 4284 4341 4401 7238 7303 7331 7347 10232 10261 12133 12150 12176 12232,1285 1300 1328 1400 1605 4334 4363 4405 7271 7380 10162 12109 12204,
mixed,620-China 17,620,21,8,38,1,13,1057-East Hubei,1036 4619 4631 7167 7637 9959 10462 12467,1612 4009 4130 7019 7580 7596 7609 7625 7948 8072 9934 10474 12408,
mixed,527-North Korea,527,39,27,69,4,12,1015-Pyongyang | 1016-Hamgyong | 1017-Chagang | 1018- Hwanghae,898 906 912 959 1003 3803 3852 3860 4052 4107 6822 6922 6944 6963 7070 7155 9795 9918 9981 10065 11775 11828 11835 11878 11896 11915 12040,848 852 978 3904 3912 3981 6928 7171 9790 9899 10083 11770,
mixed,388-Montana,388,23,11,48,3,12,1048-Montana-Sioux | 1282-Crow-Montana | 1292-Blackfoot-Montana,1736 1851 4741 4857 4860 6742 7760 7779 10587 12572 12585,1767 1854 1857 4838 4863 7880 7883 10593 10624 10706 11712 12676,
mixed,292-Saudi Arabia,292,26,15,58,2,11,916 - Riyadh | 917 - Al Jawf,4974 5024 5093 5099 7970 8004 8060 8101 10791 10815 10901 12455 12702 12727 12870,1955 2057 4968 5027 5058 7995 10850 10892 10923 12749 12813,
mixed,425-Karnataka,425,23,12,52,1,11,1353-Malabar,4291 4315 4344 4395 7244 7250 7391 7395 10190 12105 12208 12295,1412 4278 5032 7411 8011 8100 10208 10259 10799 12146 12734,
mixed,549-Sudan,549,23,13,57,4,10,817 - Gedaref | 832 - Darfur | 833 - South Sudan | 834 - Shiluk,1953 1960 2096 4033 4918 5060 7996 8052 10764 10857 10859 10877 10908,1914 2016 8084 10739 10795 10827 10851 12744 12800 12887,
mixed,278-Argentina,278,19,9,47,2,10,1104-La Pampa | 1105-Olavarria,1568 1596 4602 10375 10390 10418 12394 12409 12998,1555 1624 1639 4573 4643 7621 10402 12351 12364 12379,
mixed,732-Pamir,732,18,8,44,2,10,945-Eastern Kyrgyzstan | 946-Alma-Ata,1675 1825 4224 4391 4768 5062 12511 12583,1483 2058 4316 4467 4923 10408 10530 10660 12370 12581,
mixed,606-China 6,606,18,8,44,1,10,1056 - Nanjing,1083 1146 4203 7035 10008 10017 11994 12061,4079 4158 7094 7222 9937 10040 10064 10079 11916 12036,
mixed,533-Akita,533,17,8,47,2,9,1268-Dewa | 1277-Aomori,1063 3848 4067 6873 6994 9859 9865 12056,1024 1165 4118 4122 4153 6870 7169 9807 11847,
mixed,15-Normandy,15,15,6,40,1,9,975-Haute-Normandie,485 3549 6569 9434 9578 11563,539 553 3534 3579 6449 6599 9550 11521 11535,
mixed,69-Sudatenland,69,14,5,36,1,9,1010-South Sudetenland,543 557 5283 7857 11525,424 469 3418 3585 6470 9555 11401 11414 11432,
mixed,525-South Korea,525,30,22,73,5,8,1019-Seoul | 1020-Busan area | 1021-chungcheong | 1024-Gangwon | 1028-North Gangwon,1081 1100 1148 4004 4056 4086 4103 7021 7121 7125 7175 7204 7221 9936 10036 10115 11912 11958 11992 12011 12060 12089,1054 1177 4126 10085 10110 11948 11977 12085,
mixed,384-Nebraska,384,13,5,38,2,8,1046-Nebraska-Sioux | 1050-Arapaho,3613 4749 4760 4830 7840,1683 3708 3855 7852 10606 10676 12516 12586,
mixed,387-Idaho,387,13,5,38,2,8,1074-NezPerce | 1076-N Idaho,1832 3781 4778 7845 12124,1789 9616 9695 10556 10602 10672 12535 12607,
mixed,433-Manipur,433,18,10,56,2,8,1006-Udaipur | 1355-Bikaner,1199 1908 2054 4149 4915 4971 7905 7998 12743 12829,4984 10847 10866 12041 12718 12844 12876 12886,
mixed,455-Jordan,455,13,5,38,2,8,1004-East Jordan | 1005-Zor,1544 4440 4562 4603 11976,4017 4115 4574 4591 7001 7151 7170 10089,
mixed,589-Eastern Kazakhstan,589,17,9,53,2,8,943-Balkhash | 944-Urzhar,4651 7711 7795 7856 10550 10619 12529 12662 13197,1239 1668 4764 7332 7405 7784 10290 10680,
mixed,12-Latvia,12,19,11,58,1,8,1134 - Latgale,222 310 319 341 3255 3298 6459 7482 9275 11222 11358,3388 9240 9317 9340 9501 10323 10493 11302,
mixed,232-Grozny,232,18,10,56,1,8,1216 - North Dagestan,683 700 712 728 3672 3682 6701 6730 6748 11632,1450 3668 3711 4463 6689 7554 7624 9645,
mixed,233-Caucasus Mountains,233,19,12,63,5,7,1115 -Abkhazeti | 1118 - Svaneti | 1121 - Kakheti | 1123 - Eastern Circassia | 1237-South Ossetia,666 670 685 3667 6674 9628 9632 9647 9663 11609 11614 11647,1455 3698 6692 6721 9649 9674 11664,
mixed,108-Eastern Serbia,108,17,10,59,4,7,941 - Northern Serbia | 965-Pirot-Pcinja  | 966-Zlatibor | 1201 -  Prizren,630 3922 6940 9602 9756 9849 9874 11857 11868 11887,3939 6953 6970 6998 9890 9906 11832,
mixed,271-ethiopia,271,21,14,67,4,7,816 - Gondar | 818 - Aussa | 819 - Harar | 820 - Gibe,1984 2009 2040 2072 4954 5010 5041 5097 7912 7944 7980 8019 10734 12856,4995 8036 8062 10775 12714 12757 12812,
mixed,50-Baden,50,18,11,61,4,7,950 - Ulm | 1033-Hohenzollern-Sigmaringen | 1035-Birkenfeld | 1340-Baden,3530 3679 3692 6542 6555 6568 6712 6934 9517 11499 11640,519 694 3690 6581 9545 9655 11486,
mixed,55-Nassau,55,14,7,50,3,7,869 - Frankfurt | 870 - Darmstadt | 1061-Northern Hesse,589 3524 3574 6444 6488 9486 11560,564 3397 6549 9524 9547 11445 11533,
mixed,718-Stanleyville,718,13,6,46,3,7,898 - Msiri | 899 - Tippu Tib | 900 - Tetala,1181 1950 4941 7161 10766 12847,2034 2073 2154 6027 11934 12783 12808,
mixed,157-Abruzzo,157,11,4,36,1,7,812 - New Abruzzo,963 3923 3966 6831,925 967 3910 6926 9838 11790 11861,
mixed,443-Hyderabad,443,11,4,36,1,7,1000-Indus Valley,3456 7049 10108 10735,1147 1971 1980 4003 4110 4382 7084,
mixed,756-Jiuquan,756,12,5,42,1,7,1255-Jiuquan,1778 2028 7971 12596 12820,4783 5076 7727 7803 8102 10770 10899,
mixed,528-Nagasaki,528,18,12,67,6,6,1054-Satsuma | 1231 - Tsushima | 1257-Osumi | 1258-Bungo | 1259-Hizen | 1260-Real Nagasaki,1025 1158 4027 4102 4164 4198 7110 9950 10011 10020 10092 12032,1020 1183 7178 11925 11949 12006,
mixed,510-Mesopotamia,510,15,9,60,3,6,1058-EntreRios | 1062-Misiones | 1098-Santa Fe,1449 2172 8187 8238 10515 10943 11007 12453 12964,5163 7500 8208 10975 10985 13000,
mixed,282-Japan,282,11,5,45,2,6,1266-Edo | 1267-Hitachi,993 1113 1182 4100 7016,1097 4000 4184 4188 9998 11908,
mixed,159-Lombardy,159,10,4,40,1,6,982-Como,607 6661 9584 11587,773 969 3776 3780 11568 11734,
mixed,202-Western Kiev,202,11,5,45,1,6,1135 - South Kiev,504 3494 6497 9465 9543,489 525 582 3543 9568 11557,
mixed,22-Roussillion,22,11,5,45,1,6,971-Midi,752 3751 6962 9723 11709,760 6770 6960 9898 11711 11877,
mixed,390-South Dakota,390,12,6,50,1,6,1045-Dakota,1747 1875 3750 4839 7745 7771,4880 7862 10569 10595 12620 12667,
mixed,468-Nunavut,468,15,9,60,1,6,1311-South Saint Lawerence,4345 4417 7289 7291 7345 9601 10174 10230 10320,1284 4305 4422 7433 12149 12291,
mixed,471-Northwestern Canada,471,11,5,45,1,6,1137 - Stickeen,917 1411 1872 4678 12508,1799 3606 7869 7891 10548 12571,
mixed,544-East Africa,544,16,10,62,1,6,823 - Mozambique Coast,2120 2123 2193 2202 5164 5177 5212 8245 12935 12971,2159 2180 2217 5155 10972 12950,
mixed,559-Somaliland,559,14,8,57,1,6,821 - Geledi,2020 2063 5065 8164 10928 11014 12941 12991,1964 1966 4909 10818 10891 12840,
mixed,546-Tanganyika,546,18,13,72,5,5,825 - Kilwa | 904 - Luguru | 905 - South Massai | 907 - Sukuma | 929 - North Kunda,2196 2206 4171 5224 8182 8183 8201 8205 10845 10988 11017 12944 12967,2176 5180 8144 10932 12911,
mixed,377-Arizona,377,14,9,64,4,5,1286-Apache-Arizona | 1287-Navajo | 1294-Apache-South Arizona | 1297-Northwest Arizona,850 1793 4796 6897 7747 7821 10573 11814 12765,853 3834 7920 8115 10783,
mixed,382-Colorado,382,17,12,71,4,5,1051-Colorado-Cheyenne | 1092-Middle Colorado | 1283-Comanche-Colorado | 1298-Cheyenne-Middle Colorado,868 1658 1738 1809 1827 3869 7780 10588 11772 12570 12627 12642,6887 7684 7999 9792 10535,
mixed,230-Armenia,230,9,4,44,3,5,1119 - Eastern Meskheti | 1238-Nakhchivan | 1239-Syunik,4660 6642 6997 12441,3564 11708 12320 12380 12450,
mixed,161-Emilia Romagna,161,9,4,44,2,5,808 Parma | 813 - Modena,3773 3976 6790 9752,782 6606 6793 6985 9924,
mixed,212-Plovdiv,212,14,9,64,2,5,964-Smoljan-Ivaylovgrad | 1023-Rumelia,878 893 3937 6814 6923 6952 6982 9862 11813,3796 3819 3952 6842 9610,
mixed,47-Greece,47,9,4,44,2,5,811 - Thessaly | 1251-Athens,863 3864 3973 4109,976 1109 3988 6930 7127,
mixed,481-Sinaloa,481,9,4,44,2,5,1112 - Zacatecas | 1125 - Sinaloa,1945 8057 10895 12804,4946 7921 8003 10853 10871,
mixed,487-Amazinas,487,11,6,55,2,5,1082-Beni | 1325-Cochabamba,8211 8240 10982 10996 12917 12973,2160 5188 10924 12902 12916,
mixed,507-Southern Chile,507,9,4,44,2,5,1084-Punta Arenas | 1090 - Los Rios,5118 5201 5209 5215,2161 5159 8198 8218 10961,
mixed,616-China 14,616,12,7,58,2,5,1255-Jiuquan | 1256-Actual Ningxia,3742 5057 5100 7511 8081 12327 12776,5031 8055 8127 10724 12750,
mixed,774-Chad,774,11,5,45,2,5,838 - Northern Chad | 1385-Kulango Nord,1993 2081 3123 4897 9152,1473 1883 3181 4978 7919,
mixed,156-Calabria,156,10,5,50,1,5,997-Terra d'Otranto,6979 9784 9856 11837 11998,3901 9990 10027 12066 12098,
mixed,17-Alcase Lorraine,17,10,5,50,1,5,972-Moselle,521 9658 11488 11516 11642,698 3646 3666 6698 9642,
mixed,354-Trabzon,354,11,6,55,1,5,1122 - Western Meskheti,789 6991 7454 10403 10472 11753,3714 3979 6976 9886 9932,
mixed,444-Karachi,444,8,3,38,1,5,999-Dalbandin,5075 8013 12761,1179 5043 7917 8066 12774,
mixed,97-Bialystok,97,9,4,44,1,5,939 - Suwalki,400 3254 11329 11357,290 347 11247 11274 11301,
mixed,531-Osaka,531,11,7,64,4,4,1106-Kyoto | 1263-Real Osaka | 1264-Wakayama | 1265-Ise,1051 1133 4054 4142 7072 7113 11960,1067 1136 9985 12031,
mixed,302-bolivia,302,12,8,67,3,4,1095-Tarija | 1322-Potosi | 1325-Cochabamba,2174 5179 5229 10938 10952 10987 12930 12979,5230 8157 8225 13195,
mixed,35-Gelderland,35,7,3,43,3,4,1232-Gelderland | 1316-Limburg | 1317-Zeeuws-Vlaanderen,480 11456 11562,3262 6496 6500 9431,
mixed,529-Hiroshima,529,12,8,67,3,4,1210-Nagato | 1261- Real Hiroshima | 1262-Izumo,1092 4197 7050 7212 9968 10052 11946 11985,1167 1191 7145 10055,
mixed,665-Gabes,665,10,6,60,3,4,1012-Jendouba | 1013-Medinine | 1014-tataouine,1105 4992 9983 11935 11957 12000,3987 7005 10026 10082,
mixed,102-Slovenia,102,8,4,50,2,4,968-Murska Sobota | 969-Ljubljana,3631 6650 6672 9627,596 665 3654 9596,
mixed,303-Peru,303,7,3,43,2,4,1129 - Huanuco | 1130 - Lima,2162 12983 12997,2156 5190 8199 12969,
mixed,341-Istanbul,341,8,4,50,2,4,957 - Istanbul | 1275-Dardanelles,849 3879 6895 9833,922 3893 11829 11842,
mixed,503-Santa Catarina,503,11,7,64,2,4,1036-Parana | 1037-Municipo Neutro,2109 4587 5156 5178 8181 8239 12466,1529 4533 4548 10405,
mixed,586-Kyrgyzstan,586,10,6,60,2,4,943-Balkhash | 946-Alma-Ata,1591 1840 4773 4845 10146 10547,7706 10603 12640 12658,
mixed,211-Burgas,211,8,4,50,1,4,1023-Rumelia,6967 9888 9902 9919,649 9612 9769 9783,
mixed,34-Wallonie,34,9,5,56,1,4,977-Liege,3488 6537 9418 9444 11407,3516 9536 11519 13081,
mixed,504-Iguacu,504,7,3,43,1,4,1065-Apa,5200 8224 12951,2111 2181 8189 10959,
mixed,51-Moselland,51,9,5,56,1,4,1009-Ost-Rhine,529 3512 6469 6570 9482,587 3444 3547 9522,
mixed,274-British Africa,274,6,3,50,3,3,846 - Volta Region | 847 - Gold Coast | 1108-Western Gold Coast,10862 12742 12785,8039 8096 12787,
mixed,541-South West Africa,541,14,10,71,3,3,827 - Oorlam | 830 - Ovambo | 831 - Himba,2229 5154 5189 7605 8136 10957 10963 10978 12519 12921,2207 4879 7770,
mixed,548-Uganda,548,6,3,50,3,3,897 - Buganda | 902 - Toro | 903 - Bunyoro,3854 7088 12989,7133 8223 12929,
mixed,103-Croatia,103,11,8,73,2,3,970-Split-Dalmatia | 1011-Lika-Senj,591 3601 3868 3924 6611 6889 11564 11816,984 3974 11901,
mixed,277-Mexico,277,5,2,40,1,3,1124 - Guanajuato,2008 2011,1965 7913 12755,
mixed,39-Britain,39,7,4,57,1,3,1234-Trentino,656 6631 9598 11598,6675 9630 11615,
mixed,7-Holland,7,5,2,40,1,3,1198-Zuid-Holland,3211 9498,68 391 3314,
mixed,492-Piura,492,6,4,67,3,2,1129 - Huanuco | 1131 - Tacna | 1132 - Cusco,2225 5202 12953 13086,2182 2210,
mixed,105-Montenegro,105,5,3,60,2,2,942 - Podgorica | 1204 - Outer Montenegro,9809 9821 11858,937 6913,
mixed,530-Tokushima,530,7,5,71,2,2,1053-Tosa | 1269-Sanuki,4094 7197 9965 11997 12028,4179 7046,
mixed,736-Istria,736,4,2,50,2,2,1235-Trieste | 1236-Istarska Zupanija,6626 11735,599 11595,
mixed,184-Thrace,184,5,3,60,1,2,1199 - Eastern Macedonia,6990 9791 9930,11774 11905,
mixed,287-Sinkiang,287,6,4,67,1,2,1254-Bayingol,8042 8086 10885 12864,4973 10911,
mixed,319-Dominican Republic,319,4,2,50,1,2,1318-Este,7660 10484,4598 7632,
mixed,688-Chaco Boreal,688,5,3,60,1,2,1063-Hayes,2195 2209 10973,5165 8203,
mixed,275-South Africa,275,11,8,73,6,1,1140 - Lichtenburg | 1142 - Rustenburg | 1143 - Zoutpansberg | 1144 - Piet Retief | 1146 - British Bechuanaland | 1375-Ficksburg,1688 2171 2213 5106 5217 10566 10668 12648,10400,
mixed,660-Equatorial Africa,660,8,5,62,2,1,839 - Banda | 1385-Kulango Nord,3165 8078 11108 12719 12830,11012,
mixed,296-Portugal Africa,296,2,1,50,1,1,851 - Kaabu,12747,12891,
mixed,745-Dalian,745,2,1,50,1,1,1025-Dalian,1150,6851,
mixed,762 - Bong,762,2,1,50,1,1,1376-Guinea,5039,13283,
mixed,779-Ivory Coast,779,6,4,67,4,0,848 - Grand-Bassam | 849 - Mande | 1336-Ivory Coast | 1357-Man,5070 8122 10762 10803,,
mixed,767 - Bombali,767,4,2,50,2,0,1332-Sevilla | 1334-Ciudad Real,13228 13229,,
