id	key	name	category	vanilla_owner	provinces
104	STATE_104	West Bosnia (Bosnia and Herzegovina)	town	BOS	606 953 982 3985 6799 6942 6957 6983 9586 9588 9591 9894 9922 11572 11574 11741 11845 11872 11899 13779 13781 13852 13872 13873 13874 13875 13876 13877 13878 13879
105	STATE_105	Ipek (Montenegro)	rural	MTN	9809 9821 11858 13778 13780
106	STATE_106	Macedonia	rural	OTT	833 867 907 974 3833 3865 3882 6857 6886 11856 13819 13848
107	STATE_107	Belgrade	large_city	SER	797 3609 3956 3984 9599 11583 11586
108	STATE_108	Morava (Serbia)	town	SER	630 3939 6634 6953 6970 6998 9602 9756 9906 11857 11868 11887 13675 13850 13851 13854 13855
109	STATE_109	Slavonia	large_town	CRO	624 3592 3596 3627 6647 9595 9611 11577 11581 11594
110	STATE_110	Ostlandet	city	NOR	10 14 27 100 111 133 144 179 3007 3021 3059 3094 3105 3136 3171 6042 6072 6080 6114 6115 6136 6151 6160 6184 9032 9036 9103 9135 9157 9174 9204 9227 11028 11029 11037 11078 11113 11135 11151 11184 11206
111	STATE_111	Uusimaa	city	FIN	32 52 67 169 204 3009 3025 3061 3083 3117 3137 3161 6009 6047 6066 6082 6108 6144 6163 6186 9073 9094 9129 9160 9167 9183 9194 11056 11066 11105 11138 11172 11211
112	STATE_112	Lisbon	city	POR	799 924 970 3798 3861 6924 11805
113	STATE_113	Leinster	city	ENG	285 303 369 3342 3359 7377 11293 11303
114	STATE_114	Sardinia	town	ITA	902 6891 9772 9863 11755 11773 11824 11874
115	STATE_115	Sicily	city	ITA	1009 1156 3857 4014 4159 7059 7147 10074 12047
116	STATE_116	Malta	small_island	ENG	12003
117	STATE_117	Campania	city	ITA	819 851 883 955 3958 3968 6843 6939 6972 6980 9826 11803
118	STATE_118	Gibraltar	enclave	ENG	4135
119	STATE_119	Northern Ireland	rural	ENG	276 385 3242 3329 3379 11257
120	STATE_120	Scottish Highlands	rural	ENG	131 284 3159 3178 3373 6046 6062 6104 6196 6205 9075 9090 11064 11161 11266
121	STATE_121	Lothian	city	ENG	159 6300 9314 9383 9392 11378
122	STATE_122	Wales	city	ENG	253 311 377 407 3274 6363 9364 11361
123	STATE_123	Cornwall	town	ENG	540 3422 3463 6526 9562 11406
124	STATE_124	Gotland	small_island	SWE	408 6258
125	STATE_125	East Anglia	city	ENG	221 271 296 322 3287 11221 11253
126	STATE_126	Greater London Area	megalopolis	ENG	6103 9239 11333 11374
127	STATE_127	Sussex	large_city	ENG	507 3501 6489 9458 11446 13070
128	STATE_128	West Midlands	metropolis	ENG	3241 3301 6270 6301 7239 9297 11345
129	STATE_129	East Midlands	city	ENG	364 3353 6237 9250 9268 9322 11279
130	STATE_130	Yorkshire	metropolis	ENG	6268 9269 9315 9332 9379 9397 11297 11317 11382
131	STATE_131	Northern England	city	ENG	219 351 6399 9285 11270 11299 11332
132	STATE_132	Lancashire	metropolis	ENG	3205 3311 6318 6335 6384
133	STATE_133	Lanark	city	ENG	3273 6320 6350 6385 6395 9237 9350 11218
134	STATE_134	Connaught	town	ENG	337 3396 9255 9303 9321 9369 11238 11287 11371
135	STATE_135	Munster	town	ENG	6289 6313 6405 7394 9284 9310 9405 11237 11267 11334
136	STATE_136	Aberdeenshire	town	ENG	200 3150 9161 11055 11136 11207 11306
137	STATE_137	Crimea	city	RUS	705 3686 3722 6704 6724 9677 9680 9718 11649
138	STATE_138	Scania	city	SWE	3307 6120 6345 6361 6412 9279 9300 9362 11160 11215 11327 11376
139	STATE_139	Smaland	town	SWE	211 242 299 329 363 3229 6148 6311 6397 9251 9308 9329 9393 9406 9410 11231 11280 11289 11311 11380 11390
140	STATE_140	Vastergotland	city	SWE	69 147 171 295 383 3063 3128 3141 3286 3375 3386 6028 6195 6310 6331 6406 9054 9138 9218 11070 11114
141	STATE_141	Svealand	city	SWE	35 161 3106 3182 6050 6084 6127 6164 6188 6209 9109 9149 9185 9209 11044 11082 11163 11188 11278
142	STATE_142	Vestlandet	town	NOR	53 65 102 122 137 188 199 3049 3090 3093 3096 3114 3129 3180 3188 3192 6145 6176 6204 6216 9047 9096 9127 9170 9196 9216 9296 11100 11101 11176 11198 11367
143	STATE_143	Trondelag	rural	NOR	21 107 115 3018 3022 3098 3183 6038 6041 6116 6118 6173 9069 9132 9139 11118 11173
144	STATE_144	Nord-Norge	rural	NOR	22 38 44 64 76 91 128 173 192 2995 3016 3034 3040 3048 3058 3082 3088 3126 3132 3145 6015 6071 6079 6092 6107 6111 6130 6187 6214 9042 9064 9089 9116 9126 9128 9191 9208 11034 11050 11063 11077 11090 11104 11157 11169
145	STATE_145	Aland	small_island	FIN	9228
146	STATE_146	Karjala	town	FIN	3050 3060 3133 3187 6052 6150 6153 9100 9105 9150 9176 9206 11046 11156 11162
147	STATE_147	Salla	enclave	FIN	197 9158 11085
148	STATE_148	Lappi	rural	FIN	30 103 124 162 167 203 2992 3026 3055 3069 3097 3107 3153 3156 3158 3193 6045 6061 6076 6087 6128 6137 6142 6179 9112 9189 9223 11030 11115 11125 11130 11164 11167 11204
149	STATE_149	Pohjanmaa	town	FIN	63 66 82 120 132 158 195 3119 3122 3172 6013 6081 6138 6141 6198 6212 9038 9156 9166 9219 11033 11041 11065 11081 11121 11126 11132 11144
150	STATE_150	Savo	town	FIN	7 37 136 139 141 165 193 3013 3030 3068 3073 3115 3125 3131 3149 3185 6033 6078 6134 6146 6156 6210 9056 9061 9104 9106 9163 9169 9181 9233 11024 11043 11076 11079 11141 11199 11210
151	STATE_151	Eastern Switzerland	city	SWI	658 661 663 3641 3660 3662 11601 11623 13683
152	STATE_152	Upper Austria	city	AUS	688 732 3673 3674 3684 3703 6552 6687 6691 6708 6723 9650 9665 11612 11651
153	STATE_153	Tyrol	town	AUS	668 671 673 3675 6673 6678 6680 9633 9636 11618 11634
154	STATE_154	Great Hungarian Plain	city	HUN	679 699 730 3730 6670 6700 6735 9656 9706 11625 11644 11646 11659
155	STATE_155	Transdanubia	city	HUN	682 686 701 3670 3680 3683 6685 6703 6720 9624 9643 9676 11610 11627 11663 13797 13798
156	STATE_156	Calabria	city	ITA	3901 6979 9784 9856 9990 10027 10203 11837 11998 12066 12098
157	STATE_157	Spoleto	city	ITA	925 963 967 3910 3923 3966 6831 6926 9838 11790 11861
158	STATE_158	Piedmont	metropolis	ITA	770 771 3772 3782 3959 6780 6788 9738 9741 9909 11721 11723 11726 11730 11891 13719
159	STATE_159	Lombardy	metropolis	ITA	607 773 776 969 3776 3780 6661 9584 9600 11568 11587 11734
160	STATE_160	Veneto	large_city	ITA	603 628 3604 3657 6656 9582 9613 11584
161	STATE_161	Romagna	large_city	ITA	782 3773 3976 6606 6790 6793 6985 9752 9924 13299
162	STATE_162	Tuscany	large_city	ITA	910 1616 3885 6875 6946 6973 9750 9879 9907 11833 11889
163	STATE_163	Zara	enclave	AUS	3943
164	STATE_164	Dodecanese	small_island	OTT	7003 10007
165	STATE_165	Catalonia	large_city	SPR	854 872 897 3898 3899 6812 6836 6865 6927 6966 9764 9797 9824 11779 13447
166	STATE_166	Aragon	town	SPR	790 798 813 871 899 915 948 3816 3909 3954 6878 6901 7213 9812 9813 9840 9842 11737 11793 11819 11821 11838
167	STATE_167	Valencia	large_town	SPR	962 3799 3873 4098 6817 6856 6906 6959 9889 9896
168	STATE_168	Murcia	town	SPR	832 1093 3835 4195 7111 9903 10024 10109 11807 11884
169	STATE_169	Andalusia	city	SPR	875 879 950 1048 1178 3810 3871 3940 4080 4182 6744 7098 7183 9815 9891 10094 10111 11749 12070
170	STATE_170	Extremadura	town	SPR	809 931 985 3930 6866 6902 6948 6954 9839 9877 9917 9925 11756 11780 11798 11851 13365
171	STATE_171	Galicia	city	SPR	729 758 3761 6734 6764 6955 9686 9689 11675 11677 11692 11710 11840 13822
172	STATE_172	Navarre	pastoral	SPR	932 3737 3931 3933 6756 9857 13825
173	STATE_173	Granada	city	SPR	747 1090 1176 1192 4065 4095 7068 7153 7196 7198 9979 10009 10063 11956 12038 12083 13745
174	STATE_174	Leon	rural	SPR	726 918 920 3725 3727 3918 3920 6746 6867 6907 9699 9703 9872 11684 11843
175	STATE_175	La Mancha	town	SPR	888 942 3891 3945 3953 6800 6832 6879 6896 9757 9778 9828 9852 9881 11742 11812 11863 12081
176	STATE_176	Castille	large_town	SPR	738 740 857 884 885 903 3735 3820 3859 3887 3902 6903 6936 9700 9800 9827 9846 9870 11688 11766 11806 11809 11825 11852 11854 13824
177	STATE_177	Balearic Islands	rural	SPR	7114 9793 9845
178	STATE_178	Canary islands	small_island	SPR	13071
179	STATE_179	Alentejo-Algarve	rural	POR	980 3790 3866 6880 6884 6933 9765 9819
180	STATE_180	Porto	town	POR	724 877 3892 6921 6941 9817 11673 13823
181	STATE_181	Guarda	large_town	POR	845 874 889 938 3969 6818 6996 9770 9787 11885
182	STATE_182	Chania	rural	CRT	1164 4170 9940 12058 13803
183	STATE_183	Cyprus	rural	ENG	7193 11984 13498 13499 13500 13801 13802
184	STATE_184	Thrace	rural	OTT	6990 9791 9930 11774 11905
185	STATE_185	Northern Greece (Ottoman Empire)	town	OTT	841 914 3448 3914 3980 6900 9805 9837
186	STATE_186	Peloponnese	town	GRE	1173 4078 4178 4193 7096 7211 11965 13367
187	STATE_187	Aegean Islands	small_island	GRE	3401 6550 8435
188	STATE_188	Memel	rural	RUS	348 3288 11265
189	STATE_189	Siauliai	town	RUS	281 530 3337 3354 6229 6314 6360 6376 6407 9483 9499 9731
190	STATE_190	Kurzeme	rural	RUS	265 3194 3296 3319 3525 6222 6322 6342 9262 11246
191	STATE_191	Tartu	rural	RUS	592 4640 6099 6178 6408 9221 9485 11057 11443
192	STATE_192	Odessa	city	RUS	741 754 3575 3738 3757 9698 9714 11670 11703
193	STATE_193	Chernihiv	city	RUS	238 546 3480 3542 3568 3584 6458 6508 6532 6589 9437 9506 11425 11489
194	STATE_194	Mozyr	rural	RUS	215 3203 3293 3507 6232 6319 6556 9249 9554 11453
195	STATE_195	Sankt Petersburg	metropolis	RUS	79 149 3151 6174 11068
196	STATE_196	Kherson	rural	RUS	568 721 737 767 3573 6771 9712 11715
197	STATE_197	Mykolaiv	rural	RUS	409 574 3403 3755 6597 9573 11546 11683
198	STATE_198	Vinnytsia	large_town	RUS	476 6455 6480 9423 9435 9481 9576
199	STATE_199	Khmelnytskyi	town	RUS	462 3430 3457 3511 6429 6509
200	STATE_200	Zaporozhe	town	RUS	429 588 3399 3767 6596 9571 9729 11405 11700
201	STATE_201	Zhytomyr	town	RUS	441 550 3470 3570 6593 9466 9493 9533 11464 11477 11490 11514
202	STATE_202	Kiev	city	RUS	489 504 525 582 3494 3543 6497 9465 9543 9568 11557
203	STATE_203	Cherkasy	large_town	RUS	434 458 488 3452 3468 6451 6478 9451 9491 11409 11424 11438 11454 11530
204	STATE_204	Bobruysk	rural	RUS	304 331 360 386 3350 3759 6373 11313
205	STATE_205	Kaluga	town	RUS	246 274 352 382 3263 3308 3345 3377 6252 6365 9261 9301 11235 11284 11300 11369
206	STATE_206	Minsk	city	RUS	216 294 342 3267 3378 6292 9289 11216 11322 11370
207	STATE_207	Vitebsk	town	RUS	323 3219 3331 6220 6249 6326 6371 9241 9323 11220 11241
208	STATE_208	Luga	rural	RUS	104 126 181 3120 6139 6197 9097 9098 11032 11080 11139 11186
209	STATE_209	Pskov	town	RUS	95 415 3053 3310 6324 9120 9319 9408 11097 11202 11304 11392
210	STATE_210	Nevel	rural	RUS	207 248 354 387 3333 6242 6293 9254 9331 9353 9386 11234 11259
211	STATE_211	Varna	town	BUL	649 6967 9612 9769 9783 9888 9902 9919 13817 13859 13860
212	STATE_212	Tarevo (Bulgaria)	city	BUL	3796 3819 3937 3952 6814 6842 6923 6952 6982 9610 11813 13862 13863
213	STATE_213	Murmansk	rural	RUS	15 74 98 116 142 178 3012 3121 3134 3170 6117 6140 6157 6181 6194 9039 9059 9115 9123 9162 9165 9179 9201 9203 9215 9217 11031 11088 11117 11128 11140 11183 11196
214	STATE_214	Arkhangelsk	town	RUS	3 18 26 72 87 89 127 138 140 180 183 312 3031 3064 3065 3075 3080 3081 3086 3092 3130 3166 3168 3338 6034 6051 6075 6088 6100 6102 6105 6109 6166 6193 6199 9041 9101 9124 9130 9187 9213 9248 11038 11042 11061 11071 11074 11089 11137 11171 11178
215	STATE_215	Onega	rural	RUS	36 80 86 94 134 155 157 170 176 2998 3008 3067 3071 3078 3189 6021 6029 6090 6096 6098 6159 6175 9045 9055 9074 9119 9195 9198 11045 11054 11094 11096 11146 11175 11181 11212
216	STATE_216	Olonets	rural	RUS	40 90 92 2994 3033 3084 3144 6057 6070 6094 6106 6172 9078 9118 9231 11092 11150 11153 11159
217	STATE_217	Tsaritsyn	city	RUS	498 520 3503 3517 3529 3555 6479 6503 6527 6541 6575 9442 9459 9474 9504 9530 11395 11447 11474 11484
218	STATE_218	Rostov	city	RUS	585 6445 9417 9430 11418 11434 11450 11559
219	STATE_219	Moscow Area	megalopolis	RUS	301 350 366 401 3259 3290 3327 3358 3391 6283 6290 6348 6380 6414 9235 9282 9302 9348 9378 9395 11217 11236 11268 11282 11330
220	STATE_220	Kursk	city	RUS	457 558 580 3554 3580 6254 6304 6543 6603 9260 9542 9579 11244 11526
221	STATE_221	Kharkov	city	RUS	418 3409 3508 3531 6530 6554 9531 9556 11397 11461 11541
222	STATE_222	Orel	rural	RUS	302 328 384 6355 9328 9355 9384 9411 11214 11283 11310 11337 11368
223	STATE_223	Tula	town	RUS	212 261 300 3236 3250 3292 3376 6262 6315 6333 6396 9366 11242 11347
224	STATE_224	Bryansk	town	RUS	288 315 343 371 398 3226 3306 3335 3364 3390 6305 6330 6386 6411 11229 11298 11325
225	STATE_225	Sumy	town	RUS	463 501 522 3225 3455 3520 6565 9477 9566 11462 11553
226	STATE_226	Yekaterinoslav	town	RUS	453 472 486 6423 9419 9433 9463 9479 11422 11437 11452 11561
227	STATE_227	Hughesovka	city	RUS	502 3421 3449 3466 3479 3491 6420 6474 6493 6776
228	STATE_228	Luganskiy Zavod	town	RUS	523 547 570 6505 6519 9446 9461 9476 11487 11513
229	STATE_229	Azerbaijan	large_town	RUS	1536 1539 1610 4458 4477 4545 4614 6763 7495 7661 11645 11674 11704 12434 13800
230	STATE_230	Armenia	town	RUS	1467 3564 4660 6642 6997 9715 11708 12320 12380 12441 12450
231	STATE_231	Imereti	town	RUS	654 672 772 1530 1599 3653 3656 3658 4534 4605 6436 6669 6671 9626 9702 11599 11617 12309
232	STATE_232	South Dagestan	rural	RUS	683 700 712 728 1450 3668 3672 3682 3711 4463 6689 6701 6730 6748 7554 7624 9645 11632
233	STATE_233	Western Circassia	rural	RUS	666 670 685 714 1455 3667 3698 6674 6692 6721 9628 9632 9647 9649 9663 9674 11609 11614 11647 11664
234	STATE_234	Yekaterinodar	city	RUS	717 719 735 750 765 3717 3720 3734 3752 3760 3765 6736 6738 6741 6755 6768 6781 6783 9691 9694 9696 9709 9744 11668 11681 11729
235	STATE_235	Stravropol	rural	RUS	731 748 3748 6702 6718 6733 6750 6753 9688 9705 9707 9722 9726 9742 11633 11661 11678 11690 11693 11694 11696 11727
236	STATE_236	Astrakhan	rural	RUS	618 757 3435 3461 3487 3726 6486 6516 6620 6758 6760 9440 9455 9592 9735 9753 11429 11579 11706 11736
237	STATE_237	Elista	rural	RUS	481 742 745 759 3413 3439 3475 3597 3746 3774 6463 6791 6794 9426 9594 9720 9739 11566 11724
238	STATE_238	Volgodonsk	rural	RUS	426 775 3417 3443 3464 3587 3777 3779 6417 6468 6490 6765 6796 9415 9581 11400 11403 11416
239	STATE_239	Saratov	town	RUS	326 353 433 483 578 3304 3316 3343 3426 3465 3477 3578 6328 6366 6450 6492 6539 9326 9352 9460 9564 11308 11408 11449 11551
240	STATE_240	Belgorod	town	RUS	473 534 3492 6432 6481 6517 6577 9424 9449 9489 9518 11439 11500
241	STATE_241	Gomel	rural	RUS	289 6233 6344 6354 9247 9288 9342 9371 9396 11230 11271 11355 11383
242	STATE_242	Smolensk	large_town	RUS	306 335 3247 3279 3313 3362 6273 6387 9272 9318 9382 9399 11254 11290 11353 11384
243	STATE_243	Roslavl	rural	RUS	223 236 3210 3278 3297 6243 9253 9351 11336
244	STATE_244	Volkhov	rural	RUS	70 3072 3110 6035 6095 9164 9197 11174
245	STATE_245	Millerovo	rural	RUS	449 484 500 509 533 3478 3489 3505 3519 3540 6544 6566 9488 9516 9540 9565 11459 11476 11501
246	STATE_246	Rzhev	rural	RUS	187 226 287 333 2999 3101 3215 3235 3321 3344 6264 6303 6367 6400 9242 9265 9287 9333 9343 11224 11272 11315 11326 11349
247	STATE_247	Tver	town	RUS	85 150 344 3143 3176 3323 6022 6122 6203 6245 6346 9046 9144 9256 11084 11154 11250
248	STATE_248	Yaroslavl	large_town	RUS	2 62 97 121 164 231 252 3077 3116 3190 3220 6056 6101 6143 6167 6356 9122 9188 9345 11039 11099 11166 11205
249	STATE_249	Kazan	town	RUS	228 260 292 355 372 403 404 3214 3251 3328 3348 3365 6308 6323 6338 6352 6368 9336 9354 9385 9401 9514 10301 11243 11292 11339 11389 11496
250	STATE_250	Ulyanovsky	town	RUS	286 345 392 3196 3197 3246 3269 3276 3334 3372 3382 6226 6294 6302 6337 6394 9338 11273 11319 11373
251	STATE_251	Samara	town	RUS	298 338 339 365 393 497 3216 6275 6404 9243 9271 9299 9365 9391 11225 11256 11281 11348 11377
